date,city,price,source
,sapporo,16000,default_airbnb_market
,sapporo,16500,default_airbnb_market
,sapporo,15500,default_airbnb_market
,nagoya,14500,default_airbnb_market
,nagoya,15000,default_airbnb_market
,nagoya,14000,default_airbnb_market
,tokyo,22000,default_airbnb_market
,tokyo,23000,default_airbnb_market
,tokyo,21500,default_airbnb_market
,osaka,19000,default_airbnb_market
,osaka,20000,default_airbnb_market
,osaka,18500,default_airbnb_market
,fukuoka,15000,default_airbnb_market
,fukuoka,15500,default_airbnb_market
,fukuoka,14500,default_airbnb_market
2026-05-19,sapporo,17000,sample_airbnb_a
2026-05-19,sapporo,19000,sample_airbnb_b
2026-05-19,sapporo,18000,sample_airbnb_c
