date,city,price,source
,sapporo,18000,default_hotel_market
,sapporo,18500,default_hotel_market
,sapporo,17500,default_hotel_market
,nagoya,15000,default_hotel_market
,nagoya,15500,default_hotel_market
,nagoya,14500,default_hotel_market
,tokyo,24000,default_hotel_market
,tokyo,25000,default_hotel_market
,tokyo,23000,default_hotel_market
,osaka,21000,default_hotel_market
,osaka,22000,default_hotel_market
,osaka,20500,default_hotel_market
,fukuoka,16500,default_hotel_market
,fukuoka,17000,default_hotel_market
,fukuoka,16000,default_hotel_market
2026-05-19,sapporo,20000,sample_hotel_a
2026-05-19,sapporo,22000,sample_hotel_b
2026-05-19,sapporo,21000,sample_hotel_c
